Stalker,Glushkov,Moscow,523,1,0
Disc Math,Belousov,Moskov herald,822,0,0,2015
Book Name,Author,Publisher,pageCount,Type,BookType,year
vel enim,Barr,Deverose,531,0,0,1331
vel nisl,Salomon,Bryden,724,0,0,807
ullamcorper,Garreth,Dulson,532,0,0,1717
nunc,Roseline,Dubs,69,0,0,255
nulla suscipit,Cyndy,Calkin,984,0,0,1666
enim,Ulberto,Labroue,645,0,0,890
quisque arcu,Joelle,Bon,983,0,0,1152
quam nec,Cesar,Grishanin,295,0,0,375
Book Name,Author,Publisher,pageCount,Type,BookType,year
dapibus,Merrielle,Candish,535,0,1,579
duis,Sig,Alenov,636,0,1,1436
mi,Fionna,Beardshall,893,0,1,1726
pretium,La verne,Rosiello,394,0,1,1086
facilisi cras,Dina,Offner,460,0,1,563
ridiculus,Alex,Vorley,479,0,1,906
integer,Rudolph,Burdis,442,0,1,1260
nec,Lotte,Meaddowcroft,736,0,1,1272
fermentum donec,Darius,Fender,476,0,1,1341
nascetur ridiculus,Crystie,Craigheid,882,0,1,748
nec nisi,Crista,Mertin,1,0,1,1757
praesent lectus,Frieda,Selwyne,484,0,1,1140
nunc,Decca,Gayle,94,0,1,354
morbi,Dari,Winram,424,0,1,524
nunc,Brady,Harrop,87,0,1,1444
diam,Lindi,Maccrae,503,0,1,559
quisque,Zandra,Abbie,718,0,1,569
sagittis,Horton,Matusevich,690,0,1,457
pellentesque,Betsy,Petersen,946,0,1,1199
dapibus nulla,Marnia,Breheny,417,0,1,795
a,Emily,Lafoy,620,0,0,1572
ligula nec,Giffer,Nesbit,530,0,0,324
dui,Gareth,Davy,729,0,0,1242
pede,Marcelo,Rushton,382,0,0,1342
lacinia aenean,Josie,Gonthier,9,0,0,142
diam erat,Selina,Kennler,540,0,0,1922
rutrum ac,Coralyn,O'Heneghan,804,0,0,1848
erat,Reinhold,Tombs,716,0,0,6
mauris sit,Ilise,Durker,41,0,0,1203
ac,Isa,Cullin,207,0,0,1457
ultrices,Trescha,Dashwood,961,0,0,1921
suspendisse potenti,Orton,Goundsy,673,0,0,1736
Book Name,Author,Publisher,pageCount,Type,BookType
est,Emerson,Annand,413,1,1
aliquet massa,Yasmeen,Skellion,424,1,0
pharetra magna,Damita,Cursons,276,1,2
parturient montes,Janeczka,Ahrend,727,1,0
quam sapien,Osbourne,Surgood,882,1,2
dictumst maecenas,Silva,Bilston,424,1,1
tempus vivamus,Isabelle,Whitlam,167,1,0
id luctus,Jarret,Townshend,729,2,1
in,Kaylil,Harold,31,2,0
in libero,Arden,Keave,498,2,0
eleifend,Joachim,Bolstridge,352,2,1
platea,Durante,Trees,625,2,0
vulputate nonummy,Romonda,Treleaven,654,2,0
eu,Riki,Fance,148,2,0
lacinia nisi,Augustus,Surridge,609,2,0
ac,Jonathon,Coneron,300,2,0
sapien,Burtie,Sacker,941,2,1
vitae consectetuer,Fionna,Talboy,213,2,0
hac,Alejandra,Dello,978,2,0
quisque,Dyana,Gregolin,863,2,1
facilisi cras,Graehme,Toppes,601,2,1
nunc,Otho,Stannering,111,2,0
eu,Arlinda,Carette,37,2,1
ligula in,Elwin,Tukely,187,2,0
orci,Torie,Matcham,756,2,0
enim,Farly,Grioli,397,2,0
volutpat eleifend,Kitti,de Glanville,597,2,1
est,Evangeline,Jakubowicz,838,2,1
diam,Shani,Kahane,102,2,1
scelerisque,Casar,Horburgh,366,2,1
amet turpis,Gus,Canet,400,2,0
mollis molestie,Wayne,Nigh,83,2,1
a nibh,Brant,Perkis,873,2,1
vestibulum sit,Mozes,Melton,356,2,1
eget eleifend,Sula,Dusting,557,2,0
integer,Joscelin,O'Luney,652,2,1
sem,Nyssa,Chable,878,2,1
ipsum primis,Hart,Du Fray,49,2,0
vestibulum proin,Erda,Puttan,698,2,1
eget massa,Artus,Blabie,505,2,0
amet erat,Terence,Raun,900,2,0
praesent blandit,Brit,Ruggles,686,2,1
nunc purus,Broderick,Haking,241,2,0
orci luctus,Lorne,Veldens,138,2,0
facilisi,Amabelle,Doody,509,2,1
congue diam,Quinn,Pulteneye,415,2,1
ridiculus mus,Madella,Narracott,877,2,1
augue vestibulum,Nikoletta,Resun,840,2,0
aenean,Llewellyn,Landon,106,2,0
ut,Krystle,Jessard,132,2,1
dolor vel,Nevil,Castilljo,931,2,0
luctus,Batsheva,Bercher,250,2,0
iaculis congue,Kev,Sibun,888,2,1
morbi,Zorine,Mc Gee,709,2,1
orci,Tann,Plumridege,617,2,0
blandit,Twyla,Pasque,132,2,0
mauris vulputate,Doralyn,Hedde,515,2,1
neque aenean,Rab,McGaughie,188,2,1
lectus vestibulum,Joscelin,Brugden,764,2,1
eros,Sarge,Glide,787,2,0
ultrices enim,Grayce,Pymar,191,2,1
nisl aenean,Elvera,Radwell,56,2,0
sit amet,Doroteya,Girardez,49,2,0
varius,Bertrando,MacArthur,429,2,0
vel,Melisande,Aldren,741,2,1
fermentum donec,Kora,Rospars,231,2,0
accumsan odio,Jerrie,Bullier,480,2,1
nisl ut,Greggory,Sidgwick,541,2,1
lacinia,Cori,Pidgen,897,2,0
nec,Dunn,Earley,956,2,1
vitae,Genevieve,Jaffa,32,2,1
pede malesuada,Willy,Cottom,310,2,0
in,Dena,Crinion,953,2,1
lacinia,Fleurette,Gomes,715,2,1
volutpat quam,Alyosha,Gubbins,931,2,0
ipsum ac,Zacharias,Egger,95,2,0
augue aliquam,Teodoro,Jellybrand,685,2,1
mus vivamus,Spenser,Allenby,308,2,0
primis in,Barbie,Scrooby,609,2,0
turpis,Audi,Diggins,492,2,1
in hac,Orsola,Watton,485,2,0
platea,Tymon,Preedy,749,2,0
id,Becca,Wills,26,2,1
turpis,Karmen,Sire,375,2,1
ante,Winny,Ledingham,299,2,0
tellus,Brennan,Thompson,502,2,0
mauris,Ransom,Digle,20,2,0
nisl,Beltran,Machin,916,2,1
faucibus accumsan,Irena,Hazard,763,2,1
justo morbi,Matthias,Margett,80,2,0
tristique,Trever,Acres,554,2,0
nisl,Gasparo,Twyning,696,2,1
nisi at,Shoshanna,Wilmut,246,2,0
ante,Sydney,Penni,511,2,1
mattis nibh,Elfreda,Ashlee,622,2,1
volutpat convallis,Joann,Klimkowski,33,2,0
id,Brittan,Leftly,941,2,1
elit proin,Malory,Fuentez,746,2,0
potenti nullam,Dayna,Davys,608,2,1
faucibus orci,Roanne,Yves,999,2,1
accumsan,Arleen,Compton,777,2,1
primis in,Jemimah,Harroway,852,2,1
natoque penatibus,Cordelia,Mucci,946,2,0
ultrices erat,Hewie,Aubery,943,2,0
vitae nisl,Conan,Corner,631,2,0
est donec,Wright,Dickin,183,2,1
mauris enim,Deck,Eilles,421,2,0
amet lobortis,Vinnie,Drawmer,869,2,1
ultricies eu,Salim,Pulster,239,2,1
odio,Regen,McWhan,408,2,1
pellentesque ultrices,Wilfred,Brou,592,2,1
donec,Lorena,Iwanicki,492,2,0
ut erat,Rasia,Baum,196,2,1
odio,Maryrose,Tabour,90,2,1
amet erat,Kelcy,Stickles,179,2,0
nulla tellus,Mame,Dockerty,168,2,1
tincidunt,Shaylah,Gouck,677,2,0
quam pede,Sonnie,Abberley,321,2,0
sit amet,Donny,Bucknill,230,2,1
donec semper,Nevins,Rumsey,193,2,0
nulla justo,Slade,Semeniuk,480,2,0
rutrum,Sidonia,Brazelton,20,2,1
et,Kaiser,Durno,458,2,1
morbi sem,Oates,Vincent,886,2,0
rutrum nulla,Paulina,Lammiman,631,2,1
gravida sem,Aline,McCray,738,2,1
sapien iaculis,Melissa,Exelby,763,2,0
platea,Lorelei,Dowtry,88,2,0
habitasse,Ida,Thripp,307,2,1
accumsan,Wendie,Dybell,925,2,1
nisl,Chas,Belone,736,2,1
molestie nibh,Kelsey,Snalham,10,2,1
amet,Nobie,Bastin,945,2,1
consequat,Cornall,Fiveash,746,2,1
mauris,Hali,Dawbury,748,2,0
nisl duis,Hamel,Slot,305,2,0
ut,Ardyce,Balstone,342,2,0
nullam,Caril,Daniele,392,2,0
bibendum morbi,Thibaud,Osmon,888,2,1
odio,Dewain,Kinsman,498,2,1
accumsan,Inga,Joiris,131,2,1
pede,Valaree,Gludor,681,2,1
sagittis dui,Yolande,Devinn,473,2,1
phasellus id,Kile,Abraham,550,2,0
amet,Kathleen,Graver,679,2,1
nunc,Lavinie,Greatbanks,642,2,1
risus,Johnathan,Boxill,301,2,0
mi pede,Daniel,Pidwell,887,2,0
molestie,Emelen,Arkill,462,2,0
neque,Orlando,Iredell,819,2,1
luctus,Joyann,Jobes,913,2,0
arcu,Aron,Elsey,223,2,0
nec nisi,Bevvy,Gravestone,682,2,1
vestibulum,Melisande,Mazzei,856,2,0
eget,Vanni,Roddy,56,2,0
integer,Beverie,Screase,668,2,0
eros vestibulum,Borg,Adderson,135,2,1
congue vivamus,Callean,Elsdon,807,2,1
dui,Vickie,Burland,224,2,1
mauris,Janine,Cason,799,2,1
diam,Casey,Watt,854,2,1
orci luctus,Fifine,Dight,866,2,1
eu,Natty,Philippault,616,2,1
in imperdiet,Evangelin,Ravenscraft,359,2,1
aenean auctor,Ester,Rouby,478,2,1
in,Walker,Callum,105,2,1
arcu,Hillel,Geelan,319,2,1
odio,Harlin,Olenov,177,2,0
ac,Judie,Scahill,977,2,0
primis in,Mariejeanne,Rudloff,669,2,0
convallis,Daria,Standeven,635,2,0
curabitur gravida,Mattheus,Hopewell,466,2,0
praesent,Joby,Lymbourne,12,2,1
libero convallis,Jaine,Gwillym,646,2,1
ultrices enim,Sebastian,Runacres,660,2,0
neque vestibulum,Perle,Busch,182,2,1
a feugiat,Ronnie,Manning,353,2,1
faucibus,Iris,Bonder,370,2,0
condimentum,Emmanuel,Tighe,128,2,1
sit amet,Amity,Watford,103,2,1
pede,Muriel,Danielsen,882,2,1
quis,Lorilyn,Omrod,512,2,0
nunc,Arda,Relfe,252,2,0
nec,Dareen,Hawkwood,327,2,1
nisi,Jonie,Balhatchet,316,2,0
congue vivamus,Hanna,Gurg,412,2,1
nisl ut,Robbie,Klimowicz,150,2,1
morbi,Janine,Chesterman,556,2,1
curabitur gravida,Maxie,Hulk,55,2,1
sapien,Allyn,Hanway,653,2,1
vestibulum,Natasha,Albury,191,2,0
curabitur gravida,Hedvige,Buche,368,2,0
semper sapien,Wadsworth,Preon,849,2,1
aenean auctor,Gabi,Teague,99,2,1
sit amet,Pete,Rebanks,294,2,1
ut,Flint,Staves,556,2,1
ante,Ashla,Orsi,127,2,1
odio,Knox,Oulner,401,2,1
vulputate vitae,Izzy,McGonigle,229,2,0
lectus,Raddie,Wickersley,93,2,1
pulvinar sed,Willetta,Stoyle,987,2,1
nunc nisl,Phyllis,Kershaw,642,2,1
at feugiat,Marney,Robardley,869,2,1
habitasse platea,Priscilla,Eilhersen,286,2,0
luctus,Emily,Mioni,89,2,1
pellentesque ultrices,Helenelizabeth,Bouts,935,2,1
nulla,Faunie,Enbury,769,2,1
et ultrices,Brice,Fillingham,855,1,2
accumsan,Uriah,Spottswood,508,1,1
ac neque,Cosette,Wyeld,903,1,1
volutpat erat,Claudie,Deeth,656,1,1
mauris,Kenton,Torregiani,263,1,1
duis,Hadria,Havvock,258,1,1
imperdiet nullam,Fanni,Muscat,77,1,1
gravida,Matthiew,Castello,170,1,0
duis mattis,Flemming,Bache,706,1,0
vel,Hercules,Fattore,473,1,2
quam,Lynnette,McGoogan,457,1,2
luctus,Joella,Stevings,233,1,0
nulla,Auria,Oswald,520,1,2
pede,Matthaeus,Child,992,1,2
proin leo,Hamlin,Seel,480,1,2
interdum mauris,Reagan,Beagles,63,1,1
ante ipsum,Barret,Hanretty,454,1,0
ligula,Gloriane,De Giorgi,863,1,0
dis parturient,Everard,Stockton,476,1,2
nulla elit,Angus,Salmon,228,1,2
cum sociis,Alma,Mordie,173,1,0
viverra dapibus,Cherry,Prati,942,1,1
amet consectetuer,Layton,Childes,596,1,0
